dispute_id,description,is_verified_duplicate,is_verified_failed,contains_fraud_keyword,contains_refund_keyword,contains_duplicate_keyword,true_category
D1049,"Was charged again for the same order, looks like a duplicate payment. I have the SMS and bank statement.",1,0,0,0,1,DUPLICATE_CHARGE
D1754,emi card was charged twice this month (not sure why).,0,0,0,0,1,OTHERS
D1789,Chargebacckr equested as I on't rrecognize this card ttxn. I contacted merchant but no response.,0,0,0,0,0,OTHERS
D1733,EMI card was charged twice this month (not sure why).,0,0,0,0,1,OTHERS
D1403,failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1094,"Double charge: duplicated charge for ₹2,300.00 — i only did the payment once. Transaction IDs: 656837",1,0,0,0,1,DUPLICATE_CHARGE
D1120,I got charged twice for the same taxi of ₹1200 today.,1,0,0,0,1,DUPLICATE_CHARGE
D1768,Chargeback requested as I don't recognize this card txn. I contacted merchant but no response.,0,0,0,0,0,OTHERS
D1287,"My payment failed on gateway but amount got deducted, pls reverse. I contacted merchant but no response.",0,1,0,0,0,FAILED_TRANSACTION
D1114,Double charge: Two debits for one purchase at pharmacy minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1599,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1300,Failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1090,"I see a duplicate transaction of ₹750 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1249,UPI failed but I got debited. Status shows FAILED.,0,1,0,0,0,FAILED_TRANSACTION
D1284,paymennt failed buut bankk debited me; transaction statu is faiil. I contacted merchant but no response. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1718,"Refund waiting, merchant says refunded but not in my bank. pls help",0,0,0,1,0,REFUND_PENDING
D1087,Double charge: two debits for one purchase at subscription service minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1271,Payment went through at my end but merchant shows failed—I've been charged.,0,1,0,0,0,FAILED_TRANSACTION
D1556,unauthorized transaction on my card — suspicious charge i didn't do.,0,0,1,0,0,FRAUD
D1504,"Unauthorised transaction: Not my transaction. Someone used my card, it's unauthorised. pls help",0,0,1,0,0,FRAUD
D1319,UPI failed but I got debited. Status shows FAILED. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1669,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1681,Still waiting for refund after canceled transaction.,0,0,0,1,0,REFUND_PENDING
D1443,i did not make this payment. this is fraud.,0,0,1,0,0,FRAUD
D1432,NEFT failed but amount not reversed yet. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1410,Faield transation butm oneyy taaken out of m savings accconut.,0,0,0,0,0,FAILED_TRANSACTION
D1728,Chargeback requested as I don't recognize this card txn.,0,0,0,0,0,OTHERS
D1333,NEFT failed but amount not reversed yet. Transaction IDs: 843793,0,1,0,0,0,FAILED_TRANSACTION
D1632,Refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1133,"I see a duplicate transaction of ₹99 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1219,"My payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1047,"I was debited two times, same txn, same amount. charged twice!",1,0,0,0,1,DUPLICATE_CHARGE
D1131,"I was debited two times, same txn, same amount. charged twice!",1,0,0,0,1,DUPLICATE_CHARGE
D1328,UPI failed but I got debited. Status shows FAILED. pls help refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1329,neft failed but amount not reversed yet.,0,1,0,0,0,FAILED_TRANSACTION
D1008,I got charged twice for the same online marketplace of ₹1200 on 10/09/2025. pls help,1,0,0,0,1,DUPLICATE_CHARGE
D1501,Unauthorised transaction: I ddidnn't authorize hiis UPI transfer. This is definietly fraaud.,0,0,1,0,0,FRAUD
D1675,"Refund pending: refuund nt received,i 've been waitnig fo adys",0,0,0,1,0,REFUND_PENDING
D1531,Unauthorized transaction on my card — suspicious charge I didn't do. I have the SMS and bank statement.,0,0,1,0,0,FRAUD
D1007,Double charge: Two debits for one purchase at restaurant minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1602,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1373,Transaction shows FAILED but money was debited from my account.,0,1,0,0,0,FAILED_TRANSACTION
D1398,failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1459,Unauthorized transaction on my card — suspicious charge I didn't do. pls help I have the SMS and bank statement.,0,0,1,0,0,FRAUD
D1473,"Suspicious txn on my account, please investigate — not me. pls help Please reverse asap, this is urgent.",0,0,1,0,0,FRAUD
D1633,"refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1799,EMI card was charged twice this month (not sure why).,0,0,0,0,1,OTHERS
D1083,charged twice. 2 entries for same txn id at pharmacy. pls help,0,0,0,0,1,DUPLICATE_CHARGE
D1771,Payment unclear — says processed but merchant not received.,0,0,0,1,0,OTHERS
D1612,Refund pending for a week after I cancelled the order.,0,0,0,1,0,REFUND_PENDING
D1650,Refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1211,"My payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1370,Payment went through at my end but merchant shows failed—I've been charged.,0,1,0,0,0,FAILED_TRANSACTION
D1369,NEFT failed but amount not reversed yet. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1653,"Refund waiting, merchant says refunded but not in my bank. I have screenshots if needed.",0,0,0,1,0,REFUND_PENDING
D1029,"i was debited two times, same txn, same amount. charged twice!",1,0,0,0,1,DUPLICATE_CHARGE
D1355,Payment failed but bank debited me; transaction status is FAIL. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1796,Got two UPI debit messages for one QR scan — unsure what happened.,0,0,0,0,0,OTHERS
D1118,Double charge: Two debits for one purchase at utility bill minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1395,neft failed but amount not reversed yet. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1024,Double charge: two debits for one purchase at utility bill minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1706,Refund pending for a week after I cancelled the order. pls help,0,0,0,1,0,REFUND_PENDING
D1760,payment unclear — says processed but merchant not received.,0,0,0,1,0,OTHERS
D1520,I did not make this payment. This is fraud.,0,0,1,0,0,FRAUD
D1665,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1064,"double charge on card for ₹3,500 at ticketing site. please refund.",1,0,0,1,1,DUPLICATE_CHARGE
D1572,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1089,"I see a duplicate transaction of ₹1200 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1207,"My payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1427,Payment failed but bank debited me; transaction status is FAIL. pls help I contacted merchant but no response.,0,1,0,0,0,FAILED_TRANSACTION
D1275,"My payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1028,charged twice. 2 entries for same txn id at mobile recharge.,1,0,0,0,1,DUPLICATE_CHARGE
D1239,"My payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1109,Double charge: Two debits for one purchase at mobile recharge minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1594,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1324,Transaction shows FAILED but money was debited from my account. pls help refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1097,"I got charged twice for the same restaurant of ₹3,500 this morning. pls help",1,0,0,0,1,DUPLICATE_CHARGE
D1106,"i was debited two times, same txn, same amount. charged twice!",1,0,0,0,1,DUPLICATE_CHARGE
D1312,Failed transaction bt mnoey taaen out ofm y svaniig saccount.,0,0,0,0,0,FAILED_TRANSACTION
D1649,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1483,Unauthorized transaction on my card — suspicious charge I didn't do.,0,0,1,0,0,FRAUD
D1294,Payment failed but bank debited me; transaction status is FAIL.,0,1,0,0,0,FAILED_TRANSACTION
D1345,NEFT failed but amount not reversed yet. pls help I have screenshots if needed. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1209,Transaction shows FAILED but money was debited from my account. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1379,"My payment failed on gateway but amount got deducted, pls reverse. pls help refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1454,"Unauthorised transaction: ot my transaction. Sommeone used mmy card, it's unauhorisedd.",0,0,1,0,0,FRAUD
D1597,Refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1344,upi failed but i got debited. status shows failed.,0,1,0,0,0,FAILED_TRANSACTION
D1716,Refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1236,Failed transaction but money taken out of my savings account. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1135,"i see a duplicate transaction of ₹3,500 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1003,Double charge: duplicated charge for ₹2500 — I only did the payment once.,1,0,0,0,1,DUPLICATE_CHARGE
D1692,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1033,i got charged twice for the same electronics shop of ₹750 two days ago.,1,0,0,0,1,DUPLICATE_CHARGE
D1598,"Refund waiting, merchant says refunded but not in my bank. Transaction IDs: 648668",0,0,0,1,0,REFUND_PENDING
D1664,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1625,refund pending for a week after i cancelled the order.,0,0,0,1,0,REFUND_PENDING
D1218,NEFT failed but amount not reversed yet. I have the SMS and bank statement.,0,1,0,0,0,FAILED_TRANSACTION
D1103,duplicated charge for ₹499 — I only did the payment once.,1,0,0,0,1,DUPLICATE_CHARGE
D1431,"my payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1337,UPI failed but I got debited. Status shows FAILED. I have the SMS and bank statement.,0,1,0,0,0,FAILED_TRANSACTION
D1445,"Unauthorised transaction: Not my transaction. Someone used my card, it's unauthorised.",0,0,1,0,0,FRAUD
D1244,neft failed but amount not reversed yet. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1036,Double charge: two debist forrone purchase at ubsciptionn service minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1350,Payment went through at my end but merchant shows failed—I've been charged.,0,0,0,0,0,FAILED_TRANSACTION
D1797,my neft credited to wrong beneficiary per my statement. I contacted merchant but no response.,0,0,0,0,0,OTHERS
D1570,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1234,NEFT failed but amount not reversed yet.,0,1,0,0,0,FAILED_TRANSACTION
D1710,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1436,"UPI failed but I got debited. Status shows FAILED. Please reverse asap, this is urgent.",0,1,0,0,0,FAILED_TRANSACTION
D1288,Payment failed but bank debited me; transaction status is FAIL. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1569,Refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1723,Payment unclear — says processed but merchant not received.,0,0,0,1,0,OTHERS
D1126,"was charged again for the same order, looks like a duplicate payment.",1,0,0,0,1,DUPLICATE_CHARGE
D1322,"My payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1757,Got two UPI debit messages for one QR scan — unsure what happened.,0,0,0,0,0,OTHERS
D1354,payment went through at my end but merchant shows failed—i've been charged. I contacted merchant but no response.,0,1,0,0,0,FAILED_TRANSACTION
D1629,Still waiitnig for reefn dafter canceled transacito.n pls help,0,0,0,1,0,REFUND_PENDING
D1715,Refund pending for a week after I cancelled the order.,0,0,0,1,0,REFUND_PENDING
D1015,Double charge: duplicated charge for ₹499 — I only did the payment once. I have screenshots if needed.,1,0,0,0,1,DUPLICATE_CHARGE
D1023,Double charge: Two debits for one purchase at subscription service minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1035,"I see duplicate transaction of 99 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1338,"Failed transaction but money taken out of my savings account. Please reverse asap, this is urgent.",0,1,0,0,0,FAILED_TRANSACTION
D1098,Double charge: duplicated charge for ₹1200 — I only did the payment once. pls help,0,0,0,0,1,DUPLICATE_CHARGE
D1697,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1309,upi failed but i got debited. status shows failed. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1487,"Unauthorised transaction: not my transaction. someone used my card, it's unauthorised.",0,0,1,0,0,FRAUD
D1783,Payment unclear — says processed but merchant not received. pls help,0,0,0,1,0,OTHERS
D1776,"Payment stuck in pending, not sure if merchant got it. pls help I have the SMS and bank statement.",0,0,0,0,0,OTHERS
D1644,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1032,Double charge: duplicated charge for ₹499 — I only did the payment once.,1,0,0,0,1,DUPLICATE_CHARGE
D1040,I got charged twice for th esame mobile rechare fo ₹99 yestterday.,1,0,0,0,1,DUPLICATE_CHARGE
D1182,I got charged twice for the same clothing store of ₹1200 today. pls help,1,0,0,0,1,DUPLICATE_CHARGE
D1305,Payment failed but bank debited me; transaction status is FAIL.,0,1,0,0,0,FAILED_TRANSACTION
D1331,UPI failed but I got debited. Status shows FAILED. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1165,charged twice. 2 entries for same txn id at clothing store.,1,0,0,0,1,DUPLICATE_CHARGE
D1580,Still waiting for refund after canceled transaction.,0,0,0,1,0,REFUND_PENDING
D1268,"My payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1290,Failed transaction but money taken out of my savings account. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1571,"Refund for canceled order not processed yet. Please reverse asap, this is urgent.",0,0,0,1,0,REFUND_PENDING
D1308,"My payment failed on gateway but amount got deducted, pls reverse. pls help refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1479,"Unauthorised transaction: not my transaction. someone used my card, it's unauthorised.",0,0,1,0,0,FRAUD
D1178,"was charged again for the same order, looks like a duplicate payment. pls help",1,0,0,0,1,DUPLICATE_CHARGE
D1196,Double charge on card for ₹450 at clothing store. Please refund.,1,0,0,1,1,DUPLICATE_CHARGE
D1227,payment failed but bank debited me; transaction status is fail.,0,1,0,0,0,FAILED_TRANSACTION
D1686,still waiting for refund after canceled transaction. pls help,0,0,0,1,0,REFUND_PENDING
D1067,I got charged twice for the same electronics shop of ₹750 last night.,1,0,0,0,1,DUPLICATE_CHARGE
D1648,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1298,UPI failed but I got debited. Status shows FAILED. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1006,"was charged again for the same order, looks like a duplicate payment.",1,0,0,0,1,DUPLICATE_CHARGE
D1273,"My payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1575,refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1514,I didn't authorize this UPI transfer. This is definitely fraud. pls help Transaction IDs: 127521,0,0,1,0,0,FRAUD
D1646,refund pending for a week after i cancelled the order.,0,0,0,1,0,REFUND_PENDING
D1437,Transaction shows FAILED but money was debited from my account.,0,1,0,0,0,FAILED_TRANSACTION
D1634,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1559,Unauthorized trannsaction on my card — ssuppiious charge Id idn' do. pls help,0,0,1,0,0,FRAUD
D1179,double charge on card for ₹450 at electronics shop. please refund.,1,0,0,1,1,DUPLICATE_CHARGE
D1546,"This looks like fraud, I didn't authorize this debit. pls help",0,0,1,0,0,FRAUD
D1282,"my payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1635,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1100,I got charged twice for the same subscription service of ₹750 two days ago.,1,0,0,0,1,DUPLICATE_CHARGE
D1326,"My payment failed on gateway but amount got deducted, pls reverse.",0,1,0,0,0,FAILED_TRANSACTION
D1455,"This looks like fraud, I didn't authorize this debit.",0,0,1,0,0,FRAUD
D1074,"Double charge: I se ea duplicatet ransacton o ₹450 for same merchant, psl help. Transaction IDs: 844031",1,0,0,0,1,DUPLICATE_CHARGE
D1142,"I see a duplicate trannsaction of ₹499 for same merchhant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1375,UPI failed but I goot deitted. Satuus shows FAILED. I have the SMS and bank statement.,0,1,0,0,0,FAILED_TRANSACTION
D1393,upi failed but i got debited. status shows failed. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1197,"I got charged twice for the same electronics shop of ₹3,500 a week ago.",1,0,0,0,1,DUPLICATE_CHARGE
D1518,"this looks like fraud, i didn't authorize this debit.",0,0,1,0,0,FRAUD
D1014,"Double charge: I ee a duupplicate transacitono ₹499 for same merchhan,t pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1388,UPI failed but I got debited. Status shows FAILED. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1465,Unauthorized transaction on my card — suspicious charge I didn't do.,0,0,1,0,0,FRAUD
D1628,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1317,Payment failed but bank debited me; transaction status is FAIL. Transaction IDs: 347085,0,1,0,0,0,FAILED_TRANSACTION
D1281,Failed transaction: NEFT faiiled but amount not reversed yet. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1695,refund hasn't come back to my account after the seller cancelled. pls help,0,0,0,1,0,REFUND_PENDING
D1521,Unauthorised transaction: unauthoorized tarnsaction on my card — ssuuppicious charge ididn'td o.,0,0,1,0,0,FRAUD
D1524,"Unauthorized transaction on my card — suspicious charge I didn't do. pls help Please reverse asap, this is urgent.",0,0,1,0,0,FRAUD
D1548,I didn't authorize this UPI transfer. This is definitely fraud.,0,0,1,0,0,FRAUD
D1246,payment went through at my end but merchant shows failed—i've been charged.,0,1,0,0,0,FAILED_TRANSACTION
D1266,payment went through at my end but merchant shows failed—i've been charged. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1780,Suspicious txn: my neft credited to wrong beneficiary per my statement.,0,0,1,0,0,OTHERS
D1111,"I was debited two times, same txn, same amount. charged twice!",1,0,0,0,1,DUPLICATE_CHARGE
D1470,Unauthorized transaction on my card — suspicious charge I didn't do.,0,0,1,0,0,FRAUD
D1195,"Double charge: duplicated charge for ₹2,300.00 — I only did the payment once.",1,0,0,0,1,DUPLICATE_CHARGE
D1586,Refund pending for a week after I cancelled the order. pls help,0,0,0,1,0,REFUND_PENDING
D1467,i didn't authorize this upi transfer. this is definitely fraud.,0,0,1,0,0,FRAUD
D1057,Double charge: duplicated charge for ₹59.99 — I only did the payment once. pls help,1,0,0,0,1,DUPLICATE_CHARGE
D1346,payment failed but bank debited me; transaction status is fail. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1540,"suspicious txn on my account, please investigate — not me. Please reverse asap, this is urgent.",0,0,1,0,0,FRAUD
D1549,unauthorized transaction on my card — suspicious charge i didn't do.,0,0,1,0,0,FRAUD
D1260,payment failed but bank debited me; transaction status is fail.,0,1,0,0,0,FAILED_TRANSACTION
D1535,"This looks like fraud, I didn't authorize this debit. pls help",0,0,1,0,0,FRAUD
D1102,"Double charge: duplicated charge for ₹2,300.00 — I only did the payment once.",1,0,0,0,1,DUPLICATE_CHARGE
D1066,"was charged again for the same order, looks like a duplicate payment.",1,0,0,0,1,DUPLICATE_CHARGE
D1149,"Was charged again for the same order, looks like a duplicate payment. I have screenshots if needed.",1,0,0,0,1,DUPLICATE_CHARGE
D1578,Refund pending for a week after I cancelled the order.,0,0,0,1,0,REFUND_PENDING
D1708,Still waiting for refund after canceled transaction.,0,0,0,1,0,REFUND_PENDING
D1010,chargged twice. 2 etnries for same txn id a ttuility bill. pls help,1,0,0,0,1,DUPLICATE_CHARGE
D1167,"Double charge: duplicated charge for ₹2,300.00 — I only did the payment once.",1,0,0,0,1,DUPLICATE_CHARGE
D1321,"My payment failed on gateway but amount got deducted, pls reverse. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1528,"Unauthorised transaction: Not my transaction. Someone used my card, it's unauthorised.",0,0,1,0,0,FRAUD
D1511,I didn't authorize this UPI transfer. This is definitely fraud.,0,0,1,0,0,FRAUD
D1058,Double charge: duplicated charge for ₹499 — I only did the payment once.,1,0,0,0,1,DUPLICATE_CHARGE
D1229,UPI failed but I got debited. Status shows FAILED.,0,1,0,0,0,FAILED_TRANSACTION
D1529,i didn't authorize this upi transfer. this is definitely fraud.,0,0,1,0,0,FRAUD
D1060,double charge on card for ₹2500 at taxi. please refund.,1,0,0,1,1,DUPLICATE_CHARGE
D1485,"Unauthorised transaction: Not my transaction. Someone used my card, it's unauthorised.",0,0,1,0,0,FRAUD
D1673,"Refund waiting, merchant says refunded but not in my bank.",0,0,0,1,0,REFUND_PENDING
D1652,refund for canceled order not processed yet.,0,0,0,1,0,REFUND_PENDING
D1107,"Double charge on card for ₹1,999 at petrol pump. Please refund.",1,0,0,1,1,DUPLICATE_CHARGE
D1280,transaction shows failed but money was debited from my account. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1122,i got charged twice for the same taxi of ₹450 a week ago.,1,0,0,0,1,DUPLICATE_CHARGE
D1372,Transaction shows FAILED but money was debited from my account.,0,1,0,0,0,FAILED_TRANSACTION
D1439,"Payment failed but bank debited me; transaction status is FAIL. Please reverse asap, this is urgent. refund not yet received.",0,1,0,1,0,FAILED_TRANSACTION
D1456,"Suspicious txn on my account, please investigate — not me. I contacted merchant but no response.",0,0,1,0,0,FRAUD
D1551,Unauthorized transaction on my card — suspicious charge I didn't do.,0,0,1,0,0,FRAUD
D1105,double chrae oon ccard fo ₹99 at taxi.p lease refund.,1,0,0,1,1,DUPLICATE_CHARGE
D1709,Refund pending: Rfeund pending for a week after I cancelledt h orrderr.,0,0,0,1,0,REFUND_PENDING
D1430,payment failed but bank debited me; transaction status is fail. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1073,Double charge: duplicated charge for ₹750 — I only did the payment once.,0,0,0,0,1,DUPLICATE_CHARGE
D1509,I didn't authorize this UPI transfer. This is definitely fraud. I have the SMS and bank statement.,0,0,1,0,0,FRAUD
D1289,Failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1194,charged twice. 2 entries for same txn id at grocery store. pls help,1,0,0,0,1,DUPLICATE_CHARGE
D1138,"I see a duplicate transaction of ₹2500 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1075,Double charge on card for ₹2500 at online marketplace. Please refund. pls help,1,0,0,1,1,DUPLICATE_CHARGE
D1141,"I see a duplicate transaction of ₹59.99 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1241,Payment failed but bank debited me; transaction status is FAIL. pls help refund not yet received.,0,0,0,1,0,FAILED_TRANSACTION
D1360,NEFT failed but amount not reversed yet. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1523,I did not make this payment. This is fraud. pls help,0,0,1,0,0,FRAUD
D1011,Duplicate charge: two debits for one purchase at petrol pump minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
